=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.11.02 23:39:40 =~=~=~=~=~=~=~=~=~=~=~=
668,505,674,455,419,608
675,510,676,453,416,602
677,516,669,452,419,611
677,510,676,458,421,600
665,520,662,458,420,612
671,504,671,453,425,605
677,519,677,448,420,609
674,517,678,446,424,609
664,523,667,458,411,613
676,523,675,446,419,612
672,522,674,454,416,613
667,518,663,466,419,615
676,509,676,466,421,602
665,523,662,469,421,614
672,509,677,469,425,602
667,517,676,467,424,603
673,510,672,468,425,606
671,523,662,469,413,614
667,513,676,470,423,603
673,509,668,460,420,612
676,523,664,474,420,613
676,521,678,472,421,613
668,526,662,473,420,616
670,515,675,472,423,601
668,515,675,471,423,605
669,526,674,461,420,611
675,524,678,463,422,613
666,529,661,475,421,616
668,526,661,475,417,616
673,527,678,459,415,606
669,516,675,473,421,605
676,513,674,478,410,608
679,522,667,476,420,615
672,512,677,477,418,603
665,518,670,472,417,611
675,525,667,479,418,616
676,525,673,475,410,616
678,528,679,469,423,612
678,521,671,479,410,612
671,513,676,480,420,605
673,530,663,483,418,617
671,529,675,470,419,616
669,516,675,480,422,607
673,528,673,473,415,617
674,525,677,471,423,612
674,514,675,483,421,607
665,529,664,481,421,614
665,525,661,479,417,614
676,518,673,481,409,614
675,526,663,483,417,617
665,529,662,482,419,615
674,523,673,479,410,617
675,525,665,485,418,615
674,524,662,478,422,613
676,521,672,479,421,614
668,512,675,472,420,615
663,519,673,482,423,609
666,529,661,486,421,615
672,526,676,477,417,616
676,512,674,488,411,610
671,520,677,482,422,615
662,529,662,488,422,614
664,521,668,482,420,607
675,523,663,490,416,619
674,526,659,494,419,619
672,522,663,494,420,617
676,516,673,491,411,615
678,519,673,484,424,615
666,517,673,487,420,609
677,519,672,491,410,616
674,523,670,492,412,617
674,521,670,489,411,617
665,524,667,494,423,615
672,522,676,484,424,617
666,517,670,492,425,610
676,504,670,495,421,607
664,524,661,496,424,615
673,509,671,496,426,609
666,528,672,486,421,612
676,524,673,484,427,612
668,526,662,500,423,617
678,515,670,495,425,616
678,524,670,495,422,617
674,526,673,491,416,618
675,510,674,494,424,611
662,519,672,497,425,611
668,514,669,497,421,606
665,527,661,501,417,614
679,524,668,496,423,617
669,514,673,497,413,618
678,523,672,492,424,615
675,524,677,488,423,614
672,527,675,486,422,618
675,524,678,486,425,616
677,524,664,490,423,616
678,525,667,499,422,618
674,527,660,500,420,620
670,516,674,498,425,609
675,525,671,493,414,618
677,526,664,500,420,619
663,527,665,499,424,616
672,512,675,499,417,611
663,527,659,498,424,619
678,512,673,501,413,613
673,526,673,492,413,620
667,526,668,496,423,614
667,516,674,497,423,609
672,527,672,492,413,619
671,523,669,497,424,616
674,512,676,500,421,609
665,530,660,499,422,617
671,528,662,503,420,617
671,522,665,501,423,618
666,521,661,499,424,618
674,528,671,491,419,617
674,525,668,499,409,618
666,521,673,503,413,612
668,521,656,503,422,620
675,525,666,501,421,618
673,513,675,502,419,611
676,517,674,491,427,614
675,529,675,490,425,618
673,527,676,489,425,617
674,516,672,505,414,614
664,522,670,500,427,612
672,513,676,503,425,607
670,523,671,499,412,618
676,527,672,495,414,619
676,511,674,498,428,609
661,530,666,500,425,615
663,528,662,499,424,616
668,515,675,501,426,610
674,528,673,492,420,620
672,528,675,490,422,618
665,529,660,503,421,617
670,526,677,490,425,616
675,515,671,506,412,615
678,523,672,502,422,619
677,524,663,504,423,620
664,519,669,500,426,613
678,518,674,501,424,617
674,508,673,499,427,612
676,521,676,491,426,614
679,514,673,504,415,615
672,509,669,500,428,612
672,523,660,505,423,621
673,524,673,491,419,619
668,519,660,500,420,619
676,509,676,495,426,609
674,519,676,491,420,619
668,519,667,501,425,617
673,522,674,490,421,619
669,509,674,501,430,608
679,510,676,501,419,613
673,523,674,491,419,618
662,519,667,500,426,615
664,517,668,500,417,618
673,506,673,501,427,611
674,522,675,504,415,612
676,524,676,489,424,617
667,523,661,497,425,613
677,516,670,498,426,619
675,519,673,496,415,619
674,518,664,503,423,622
674,523,674,491,417,619
676,519,676,492,426,616
673,507,671,501,427,612
678,518,666,499,426,614
672,521,676,491,422,617
672,507,670,492,426,618
676,514,677,492,427,617
672,517,661,502,422,622
676,508,675,503,428,611
669,523,673,491,417,621
672,523,676,491,420,619
676,518,672,498,416,621
667,516,669,499,426,615
