923,666,779,796,768
911,671,772,806,762
915,675,782,801,768
915,681,791,804,768
910,681,784,807,768
911,682,781,806,768
910,672,784,809,761
910,662,781,812,768
911,659,784,817,768
907,667,816,797,761
919,669,886,804,762
917,673,894,800,768
912,672,819,804,768
910,674,806,816,768
909,667,797,824,768
902,670,791,817,768
901,664,792,826,768
903,659,795,825,762
897,671,796,824,768
898,666,795,827,762
899,670,790,827,761
899,667,777,827,761
900,669,792,826,761
897,670,794,829,768
898,671,790,828,762
897,669,787,827,768
900,673,793,829,761
909,669,798,828,761
907,669,793,826,763
910,669,794,833,768
909,669,794,832,768
911,674,796,830,763
908,671,795,824,762
904,674,796,829,761
905,670,795,830,768
899,670,796,834,762
906,674,797,830,768
909,677,798,829,768
908,671,798,832,768
898,672,798,831,768
909,675,798,830,768
905,676,799,829,762
908,668,798,827,762
905,675,801,832,761
909,674,797,831,761
906,673,799,832,762
907,676,799,828,762
909,675,797,829,762
906,674,795,831,762
906,676,800,829,768
908,677,798,828,768
904,679,801,829,762
908,680,798,828,768
908,678,794,830,760
908,676,799,831,768
907,680,800,828,761
906,678,798,828,761
913,678,802,824,762
910,681,798,827,762
911,680,800,822,768
913,675,804,822,762
916,679,800,824,761
912,681,803,826,762
911,681,802,828,768
913,679,802,828,761
911,682,806,826,768
909,681,803,832,768
906,678,801,829,762
908,684,805,828,768
912,679,803,831,762
909,684,805,829,762
913,683,800,830,762
911,686,807,832,762
906,685,804,833,761
914,683,802,831,768
911,681,805,833,768
909,687,806,827,768
910,687,805,828,768
918,682,803,831,761
901,684,804,829,768
908,683,803,833,768
910,686,807,830,768
905,688,805,828,768
911,687,809,830,768
909,683,803,830,768
900,686,805,828,763
910,679,804,829,762
906,681,805,825,768
904,687,802,832,762
912,683,801,829,768
912,688,805,831,762
911,683,804,832,762
907,686,806,829,768
911,687,804,829,768
912,690,805,832,768
910,688,807,830,768
908,684,805,830,768
908,687,807,832,768
905,679,807,831,768
910,687,805,829,768
914,687,805,829,761
902,686,809,833,761
912,689,806,829,768
913,686,805,832,768
910,682,807,831,761
907,688,806,829,762
915,685,806,832,768
919,683,805,831,762
908,688,807,833,762
908,687,806,830,768
908,686,806,831,762
913,688,807,832,762
916,684,805,830,768
911,683,804,830,762
919,688,805,822,768
914,688,805,828,768
906,685,805,829,762
912,687,804,831,762
914,687,800,828,768
909,689,806,832,768
914,684,803,821,762
910,684,808,831,768
909,684,806,830,768
906,674,803,831,762
912,687,805,828,768
910,679,807,832,762
910,684,806,829,762
910,690,807,827,768
908,689,800,826,761
909,688,805,829,768
909,686,807,827,768
908,687,810,826,768
910,681,805,830,768
912,687,808,826,768
909,689,803,829,768
905,689,807,828,768
907,689,805,832,762
913,687,809,828,762
913,688,808,822,761
909,690,809,827,762
906,687,805,829,768
912,688,809,829,768
913,689,803,838,768
911,688,808,828,762
911,687,803,828,768
910,689,807,827,763
910,691,808,823,768
906,690,810,831,768
909,692,804,831,761
912,690,807,830,761
910,689,803,831,762
911,691,804,832,762
908,684,809,828,762
906,692,808,827,768
891,691,807,826,761
888,691,809,824,762
871,690,808,826,768
880,683,807,825,768
876,686,807,821,768
872,686,810,824,768
871,687,808,828,768
881,684,812,825,768
888,684,806,829,761
886,683,812,830,761
891,686,809,829,763
884,686,809,829,768
896,688,808,829,762
893,690,811,828,768
889,693,811,830,762
896,690,811,829,768
893,689,813,829,768
900,688,808,830,762
897,689,809,833,761
900,687,811,832,762
896,694,810,828,768
898,688,808,830,768
898,687,808,831,768
900,692,809,831,768
894,689,814,832,768
900,693,808,830,768
896,690,810,833,762
897,687,812,832,762
895,687,809,825,768
899,688,809,830,768
899,692,812,831,762
897,692,809,832,762
902,688,803,832,761
899,692,808,830,768
897,688,809,832,768
904,684,811,830,762
900,694,811,830,768
896,696,810,831,768
900,692,812,833,768
899,693,814,830,761
897,691,810,833,768
901,695,811,829,761
901,693,810,830,762
903,693,812,832,768
900,690,809,833,762
893,692,810,834,762
905,693,807,827,768
898,691,812,827,761
890,682,812,830,762
903,692,813,832,761
896,691,812,831,768
893,692,811,832,768
900,689,811,833,762
900,694,809,830,768
899,688,813,833,761
901,692,815,829,762
899,692,808,833,768
899,694,812,829,768
905,688,813,839,761
902,690,812,830,762
902,695,812,832,768
904,694,809,827,762
908,693,811,828,761
905,694,813,834,768
901,692,813,827,762
902,688,814,832,762
904,690,812,826,768
902,689,813,832,768
908,691,811,833,768
903,692,814,829,762
904,693,807,829,768
900,695,813,831,761
895,692,806,830,762
901,692,811,828,768
905,695,814,829,768
903,691,806,831,761
896,695,813,827,768
901,691,813,833,762
902,695,811,829,768
901,693,816,833,768
903,694,815,829,761
902,695,812,834,768
900,695,814,828,768
899,696,813,831,768
902,695,814,830,762
912,692,811,830,762
902,697,811,829,762
903,691,813,831,761
896,693,814,828,761
899,691,811,829,768
904,694,814,832,762
896,691,806,831,768
900,685,814,830,768
905,689,813,822,768
904,698,814,829,768
902,695,808,829,768
902,693,812,831,768
903,694,812,829,768
907,692,812,831,762
903,692,811,830,768
895,683,810,832,761
900,697,803,827,762
905,697,810,830,762
903,692,811,832,768
903,693,812,829,762
903,695,813,831,762
905,690,813,833,762
901,695,813,831,768
907,695,811,827,768
909,694,813,832,768
903,693,814,833,768
907,694,812,821,768
904,693,814,830,761
904,693,814,831,762
902,694,813,829,768
904,692,816,831,762
903,696,814,829,762
895,694,813,829,768
902,696,816,830,762
900,696,813,830,768
902,695,814,829,768
904,695,814,832,768
903,690,813,832,768
907,698,811,829,768
906,692,810,824,762
903,694,814,837,761
907,696,812,830,762
905,696,816,829,768
903,698,816,829,762
904,693,815,835,762
903,695,818,831,763
902,697,813,835,762
894,695,813,833,761
909,697,815,829,761
906,694,814,828,761
903,695,815,829,761
903,697,813,831,762
903,694,815,831,761
904,695,816,830,768
905,698,812,832,761
904,693,813,832,762
907,698,814,832,768
908,698,813,831,768
905,697,817,830,768
906,696,814,833,768
902,698,814,833,762
908,700,813,831,768
908,700,810,832,768
905,697,816,830,762
907,698,817,830,768
905,696,811,832,762
904,697,817,826,768
903,700,815,832,768
904,699,814,827,762
904,687,813,827,762
903,696,818,830,761
909,700,806,830,761
902,699,817,823,761
908,695,814,832,762
905,694,816,832,768
907,699,816,825,768
905,697,815,826,762
901,700,815,830,768
902,698,813,828,768
902,702,815,827,761
901,699,814,831,762
901,699,816,829,768
904,701,810,829,768
907,696,816,830,768
904,698,818,828,768
900,698,814,830,762
906,701,815,829,768
907,697,818,829,768
907,694,816,829,768
908,692,819,833,761
906,700,814,829,761
897,697,816,831,762
901,692,817,831,760
902,695,815,832,762
902,699,813,827,762
904,699,817,830,768
892,702,821,833,768
903,686,817,827,762
908,697,820,835,768
910,698,816,829,768
906,695,816,828,762
912,700,813,833,768
907,699,817,832,768
905,698,817,831,761
904,707,815,827,768
907,700,810,825,768
904,701,819,832,768
907,697,816,830,760
904,704,816,833,768
909,696,818,830,768
904,705,818,825,768
897,704,815,829,768
909,699,820,829,762
905,697,818,825,768
900,702,816,827,768
907,699,818,832,762
906,698,823,832,768
904,699,810,831,761
911,698,816,827,768
906,699,816,831,768
910,699,814,831,768
905,696,817,834,761
905,699,819,831,762
913,705,816,831,762
907,699,818,831,768
906,702,815,834,768
900,702,817,829,768
901,698,817,827,768
907,701,813,830,762
906,701,813,831,768
907,701,817,828,762
912,699,816,828,762
904,701,813,830,761
910,699,813,831,761
896,699,817,829,762
905,705,817,833,761
906,703,813,830,761
903,700,816,834,768
908,700,819,830,762
918,703,818,830,761
904,704,817,828,761
911,696,822,827,768
908,699,814,824,768
904,700,815,828,768
908,704,818,827,763
905,703,822,829,762
906,703,819,828,762
899,704,816,829,761
905,704,816,828,762
908,702,811,829,768
902,702,815,832,768
906,700,816,832,768
902,699,811,832,761
907,703,813,831,768
905,702,815,832,763
901,710,816,831,768
908,704,814,830,768
900,703,817,825,761
901,705,817,831,762
904,702,812,818,768
902,700,815,831,762
904,707,819,831,761
906,701,815,830,768
898,708,817,831,768
903,705,817,829,768
906,705,818,828,761
903,703,814,835,761
902,706,818,832,768
909,704,818,836,761
900,705,819,830,761
904,704,818,829,762
914,705,820,830,762
902,707,818,833,762
906,699,814,831,768
902,700,816,830,768
908,693,818,832,768
903,697,822,830,768
910,696,817,834,761
908,703,815,834,768
910,692,815,829,768
909,699,820,833,762
909,697,815,834,762
912,694,819,833,768
913,695,818,834,762
910,698,818,827,768
896,693,820,829,761
908,698,815,838,761
913,699,816,831,762
907,699,819,833,768
900,698,817,835,762
907,699,820,830,762
906,700,817,830,768
909,698,818,832,762
909,704,819,832,768
906,699,821,833,761
901,702,818,833,768
910,702,817,833,768
910,696,821,830,761
908,701,816,835,761
905,701,819,831,762
913,703,819,832,768
907,700,819,835,761
910,700,817,835,761
912,692,819,832,768
909,702,819,834,768
904,703,818,833,768
906,704,820,839,768
908,704,819,831,768
907,700,823,832,763
908,700,818,832,762
906,703,822,834,768
909,702,818,833,768
914,704,821,828,768
908,704,818,836,768
910,704,817,835,768
909,705,818,834,762
912,702,815,833,761
909,702,820,830,768
909,700,818,831,768
908,704,820,833,768
907,703,820,830,762
907,706,818,831,761
912,708,813,833,768
906,704,822,830,762
910,705,818,830,762
905,708,821,831,768
903,705,818,829,768
906,707,821,831,762
896,706,822,833,768
905,710,822,831,768
906,706,819,831,768
904,710,822,831,761
894,706,815,826,762
889,710,811,823,762
887,709,814,820,761
893,699,817,823,762
898,711,817,821,768
896,708,816,822,761
896,708,817,823,762
900,708,816,823,760
897,710,819,822,768
900,706,817,823,762
896,707,821,817,768
904,708,816,824,761
902,707,822,827,763
901,706,819,826,762
900,709,818,823,768
898,706,817,826,761
895,708,817,825,761
899,703,818,824,762
894,715,821,825,763
900,708,820,827,768
898,708,820,826,763
898,704,818,823,768
886,708,812,820,763
884,707,810,820,768
880,707,806,819,768
884,712,810,820,768
891,708,815,820,768
892,709,813,816,768
897,707,813,821,761
896,718,809,812,768
897,711,807,820,768
896,710,815,821,762
899,712,814,818,768
900,714,813,821,768
898,709,809,823,761
888,704,814,821,768
899,712,812,822,768
897,709,813,824,762
899,704,817,823,768
899,707,816,825,761
896,711,813,821,762
899,706,814,825,762
896,705,817,824,768
895,710,815,826,762
897,708,816,821,762
901,708,814,824,761
902,708,811,826,762
901,708,811,825,768
897,710,820,824,768
902,707,816,825,761
896,710,812,824,761
904,709,814,824,762
899,709,818,821,762
897,705,814,824,768
900,705,815,823,761
901,711,816,825,768
901,704,813,822,768
900,706,815,824,768
897,711,818,829,768
901,703,816,824,768
899,707,811,826,763
900,710,816,825,768
901,707,813,824,768
898,710,815,824,768
900,706,813,829,762
900,707,812,824,762
899,710,814,824,762
897,706,816,824,762
899,712,817,823,768
898,709,818,824,768
899,704,818,825,762
896,709,817,824,768
895,708,819,821,762
903,706,815,823,768
901,711,816,823,768
900,713,816,828,762
894,711,819,828,761
902,708,817,819,761
898,711,813,825,768
899,703,816,827,762
902,710,820,822,762
898,707,816,822,768
896,708,827,824,768
902,709,815,826,768
897,710,816,822,762
899,708,817,822,768
